book_id,genre_id
20,433
20,1217
35,141
35,142
35,146
35,1223
52,1251
52,1314
54,125
54,127
54,433
69,127
69,1280
71,392
72,128
72,1311
72,1312
86,412
86,441
86,444
113,412
113,1142
113,1217
139,433
139,1224
139,1225
140,424
140,433
141,430
141,529
147,1235
147,1314
152,426
154,1251
154,1254
158,424
159,1314
160,426
161,426
162,1226
162,1314
163,426
166,433
166,1224
167,433
167,1223
169,409
169,1224
169,1225
175,433
175,1225
179,1217
179,1310
183,129
183,1222
183,1326
190,464
190,465
204,446
204,1279
204,1280
209,464
219,424
219,1229
223,426
225,409
225,444
225,1225
228,424
236,426
259,426
259,1242
265,43
265,479
265,1262
278,459
278,465
278,483
278,488
279,618
279,1217
289,412
289,424
290,1233
290,1314
299,426
303,1268
307,616
307,618
309,1314
310,412
310,424
311,119
311,1315
313,424
313,1235
314,150
314,1318
317,409
317,444
317,1223
321,1241
321,1251
322,1241
322,1251
332,409
332,1124
332,1223
340,434
341,434
342,434
346,426
349,137
349,150
349,1318
356,426
356,1242
370,459
370,464
370,465
372,446
372,1136
373,389
375,127
375,128
380,137
380,445
380,1216
403,446
403,1128
403,1129
422,412
431,547
431,549
436,142
436,146
436,1223
444,1251
444,1254
445,1251
445,1254
455,141
455,142
455,146
455,1225
458,1240
458,1242
461,1235
461,1314
470,7
470,512
492,426
497,140
500,412
500,441
511,1217
528,426
528,1242
529,1223
529,1224
530,433
530,1225
538,424
540,142
540,146
540,1223
541,426
551,441
551,444
551,1142
559,141
559,1318
560,424
572,140
584,131
588,516
588,520
603,1314
609,141
609,142
609,146
609,1223
610,146
610,1223
639,126
639,130
641,424
649,424
653,430
653,527
673,430
676,424
688,551
695,412
695,441
695,442
695,527
703,137
703,1318
712,1314
713,142
713,1314
715,412
715,441
715,444
717,464
717,465
717,479
719,518
719,1142
723,141
723,142
723,146
723,1223
727,1136
727,1284
727,1326
755,412
755,441
755,443
756,426
757,1318
763,141
763,1318
784,129
784,1310
807,146
807,1225
810,141
810,146
810,1223
815,412
815,441
815,1224
826,1128
826,1129
850,464
850,465
865,412
865,1217
871,1216
873,126
873,533
873,1311
955,433
955,1217
963,409
963,1223
965,142
965,146
965,1223
1047,396
1048,539
1077,1125
1077,1314
1079,426
1129,401
1129,412
1130,140
1130,401
1133,426
1133,444
1133,1242
1134,426
1134,1242
1135,1223
1148,1251
1160,412
1160,441
1179,549
1197,1217
1197,1222
1212,516
1232,150
1232,1318
1242,144
1242,447
1242,1139
1245,446
1245,1318
1245,1319
1302,143
1388,1138
1388,1222
1395,412
1395,426
1467,145
1467,1318
1467,1321
1476,1217
1495,409
1495,434
1499,434
1510,412
1510,444
1519,409
1519,1218
1543,434
1543,444
1607,412
1607,443
1607,1326
1607,1333
1614,550
1622,430
1625,430
1625,529
1628,430
1628,529
1658,433
1658,529
1668,434
1668,441
1669,434
1670,1217
1670,1222
1678,430
1678,527
1683,430
1683,527
1687,430
1691,1129
1691,1316
1701,459
1701,464
1701,465
1701,466
1722,433
1722,1217
1729,1217
1729,1222
1731,430
1738,412
1738,441
1738,444
1782,518
1814,1251
1815,1263
1815,1268
1985,434
2012,1318
2012,1319
2076,537
2076,547
2076,551
2086,430
2089,125
2089,127
2089,433
2090,430
2107,441
2107,444
2148,412
2148,441
2247,1233
2247,1235
2247,1314
2271,1217
2271,1220
2271,1222
2341,83
2357,412
2357,1217
2358,412
2358,441
2358,444
2361,1129
2361,1130
2379,441
2398,127
2400,424
2400,1233
2403,441
2403,444
2403,446
2436,1217
2436,1222
2460,120
2460,424
2461,426
2472,464
2472,466
2475,1136
2514,1136
2531,141
2531,142
2531,146
2531,1223
2542,1136
2544,412
2544,1133
2544,1136
2544,1218
2572,430
2572,529
2582,412
2582,441
2604,559
2605,537
2605,547
2605,559
2605,1138
2605,1188
2624,392
2627,409
2627,412
2627,444
2629,1143
2690,1309
2690,1310
2704,430
2705,126
2705,127
2716,426
2716,1242
2723,127
2737,142
2737,146
2737,1223
2754,141
2754,142
2754,146
2754,1223
2755,392
2839,412
2839,441
2839,444
2852,551
2852,602
2853,551
2856,551
2856,602
2864,1314
2880,1276
2880,1316
2899,409
2899,444
2900,127
2900,433
2900,532
2993,547
2993,1143
2993,1144
3023,1217
3026,409
3026,412
3038,444
3038,446
3038,1130
3043,1217
3050,145
3050,148
3050,1318
3050,1321
3086,150
3086,1318
3086,1319
3126,498
3142,433
3142,1217
3158,412
3158,1223
3172,53
3172,60
3172,65
3180,430
3200,74
3200,1255
3206,119
3206,1222
3206,1310
3215,414
3217,459
3217,465
3217,466
3217,537
3228,412
3228,441
3228,444
3229,412
3229,441
3240,412
3240,441
3240,444
3252,706
3252,771
3266,1142
3269,143
3300,433
3300,1217
3302,433
3302,1217
3303,433
3303,1217
3311,1
3311,43
3322,129
3322,1222
3322,1326
3335,559
3335,1138
3354,412
3367,1248
3367,1251
3374,441
3374,443
3374,446
3381,149
3391,140
3391,1216
3405,412
3405,441
3406,150
3406,1318
3441,510
3441,516
3452,445
3457,1217
3457,1222
3481,446
3517,125
3517,127
3517,136
3517,412
3559,412
3559,424
3562,537
3562,613
3562,616
3564,464
3564,465
3568,128
3568,1311
3585,140
3585,443
3585,551
3595,424
3613,1182
3631,447
3631,1226
3631,1235
3631,1314
3635,143
3635,144
3635,1318
3658,441
3658,444
3658,446
3662,416
3662,1129
3695,430
3716,412
3716,441
